expId,arch,numRuns,dataset,dataTransform,numLayers,hiddenDim,attnHeads,activation,weightSharing,optimizer,maxEpochs,initialLR,lrDecayFactor,lrDecayPatience,attnDropout,wghtDecay,initScheme,scalScheme,scalHP,useIdMap,useResLin,mulLastAttHead,initA1,initA2,linWghtSharing,bias,linLastLayer,hasOmega,omegaInitVal,linAggrSharing,Note
98,GAT_S,1,Cora,,20,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
99,GATE_S,1,Citeseer,removeIsolatedNodes,20,64,1,relu,1,Adam,5000,0.0001,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
100,GAT_S,1,Citeseer,removeIsolatedNodes,20,64,1,relu,1,Adam,5000,0.0001,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
101,GATE_S,10,roman-empire,,5,64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
102,GATE_S,10,amazon-ratings,,5,64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
103,GATE_S,10,questions,,5,64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
104,GATE_S,10,minesweeper,,5,64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
105,GATE_S,10,tolokers,,5,64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
106,GATE_S,10,roman-empire,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
107,GATE_S,10,amazon-ratings,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
108,GATE_S,10,questions,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
109,GATE_S,10,minesweeper,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
110,GATE_S,10,tolokers,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,0,0,1,0,0,0,1,1,
111,GAT_S,10,roman-empire,,5,64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
112,GAT_S,10,amazon-ratings,,5,64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
113,GAT_S,10,questions,,5,64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
114,GAT_S,10,minesweeper,,5,64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
115,GAT_S,10,tolokers,,5,64,1,relu,1,Adam,5000,0.001,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
116,GAT_S,10,roman-empire,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
117,GAT_S,10,amazon-ratings,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
118,GAT_S,10,questions,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
119,GAT_S,10,minesweeper,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
120,GAT_S,10,tolokers,,10,64,1,relu,1,Adam,5000,0.0005,1,,0,0,LLortho,,,0,0,,XavN,,1,0,0,0,1,1,
